Dalvik/1.8.0(Linux; U; Android 8.0;Xperia 5 II Build/FC5AP4GD)[FBAN/FB4A;FBAV/93.0.0.59.91FBBV/4840766FBDM={density=3.0,width=781,height=861}FBLC/ja_JPFBRV/1973734FBCR/Boost MobileFBMF/SonyFBBD/SonyFBPN/com.facebook.katanaFBDV/Xperia 5 IIFBSV/8.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 11.0;LM-K500 Build/Y9YOV5VL)[FBAN/FB4A;FBAV/116.0.0.77.86FBBV/3567011FBDM={density=3.0,width=678,height=1798}FBLC/de_DEFBRV/5384072FBCR/O2FBMF/LGFBBD/LGFBPN/com.facebook.katanaFBDV/LM-K500FBSV/11.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 10.0;SM-N975F Build/4LWYQ4SV)[FBAN/FB4A;FBAV/83.0.0.20.94FBBV/3705316FBDM={density=3.0,width=721,height=771}FBLC/zh_CNFBRV/1626449FBCR/T-MobileFBMF/SamsungFBBD/SamsungFBPN/com.facebook.katanaFBDV/SM-N975FFBSV/10.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 9.0;LM-X410 Build/8YMMUALL)[FBAN/FB4A;FBAV/116.0.0.99.22FBBV/8288800FBDM={density=3.0,width=566,height=1457}FBLC/es_ESFBRV/5394576FBCR/AT&TFBMF/LGFBBD/LGFBPN/com.facebook.katanaFBDV/LM-X410FBSV/9.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 4.2.2;Nova 5T Build/RKZCG6O3)[FBAN/FB4A;FBAV/81.0.0.94.3FBBV/1900821FBDM={density=3.0,width=793,height=883}FBLC/it_ITFBRV/4174888FBCR/AT&TFBMF/HuaweiFBBD/HuaweiFBPN/com.facebook.katanaFBDV/Nova 5TFBSV/4.2.2FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 10.0;P40 Pro Build/X5O35OVT)[FBAN/FB4A;FBAV/115.0.0.33.50FBBV/6404114FBDM={density=3.0,width=636,height=1504}FBLC/es_ESFBRV/4981031FBCR/VodafoneFBMF/HuaweiFBBD/HuaweiFBPN/com.facebook.katanaFBDV/P40 ProFBSV/10.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 8.0;LM-Q710 Build/3M4TAKBW)[FBAN/FB4A;FBAV/113.0.0.74.72FBBV/5587429FBDM={density=3.0,width=614,height=1062}FBLC/it_ITFBRV/4836529FBCR/VerizonFBMF/LGFBBD/LGFBPN/com.facebook.katanaFBDV/LM-Q710FBSV/8.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 11.0;Xperia 5 II Build/ALFTPRXM)[FBAN/FB4A;FBAV/84.0.0.45.23FBBV/8270303FBDM={density=3.0,width=678,height=1852}FBLC/de_DEFBRV/9701574FBCR/O2FBMF/SonyFBBD/SonyFBPN/com.facebook.katanaFBDV/Xperia 5 IIFBSV/11.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 6.0;SM-A528B Build/DNICL7PE)[FBAN/FB4A;FBAV/102.0.0.75.22FBBV/4065238FBDM={density=3.0,width=384,height=1566}FBLC/it_ITFBRV/2668780FBCR/T-MobileFBMF/SamsungFBBD/SamsungFBPN/com.facebook.katanaFBDV/SM-A528BFBSV/6.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 8.0;P40 Pro Build/X2ENMZ18)[FBAN/FB4A;FBAV/120.0.0.100.23FBBV/4805609FBDM={density=3.0,width=484,height=1508}FBLC/it_ITFBRV/3340568FBCR/SprintFBMF/HuaweiFBBD/HuaweiFBPN/com.facebook.katanaFBDV/P40 ProFBSV/8.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 5.0;CPH2171 Build/2YOH2NR5)[FBAN/FB4A;FBAV/91.0.0.69.30FBBV/1019151FBDM={density=3.0,width=984,height=848}FBLC/it_ITFBRV/8687500FBCR/T-MobileFBMF/OPPOFBBD/OPPOFBPN/com.facebook.katanaFBDV/CPH2171FBSV/5.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 10.0;V2027 Build/7VWPPEI1)[FBAN/FB4A;FBAV/90.0.0.24.80FBBV/8372380FBDM={density=3.0,width=834,height=850}FBLC/zh_CNFBRV/2768127FBCR/VerizonFBMF/VivoFBBD/VivoFBPN/com.facebook.katanaFBDV/V2027FBSV/10.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 12.0;Xperia 1 II Build/SM4AM6ZK)[FBAN/FB4A;FBAV/88.0.0.32.86FBBV/1385271FBDM={density=3.0,width=542,height=1063}FBLC/zh_TWFBRV/2550442FBCR/AT&TFBMF/SonyFBBD/SonyFBPN/com.facebook.katanaFBDV/Xperia 1 IIFBSV/12.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 4.2.2;Poco X3 NFC Build/41LK2TUD)[FBAN/FB4A;FBAV/105.0.0.29.18FBBV/7713238FBDM={density=3.0,width=382,height=1105}FBLC/ja_JPFBRV/5808047FBCR/TelecomFBMF/XiaomiFBBD/XiaomiFBPN/com.facebook.katanaFBDV/Poco X3 NFCFBSV/4.2.2FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 11.0;Poco X3 NFC Build/Y84AU39P)[FBAN/FB4A;FBAV/113.0.0.21.67FBBV/686624FBDM={density=3.0,width=775,height=1343}FBLC/zh_CNFBRV/8360331FBCR/VerizonFBMF/XiaomiFBBD/XiaomiFBPN/com.facebook.katanaFBDV/Poco X3 NFCFBSV/11.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 7.0;ASUS_Z010 Build/2ZFR1SPC)[FBAN/FB4A;FBAV/112.0.0.92.68FBBV/2952296FBDM={density=3.0,width=519,height=1345}FBLC/de_DEFBRV/5583713FBCR/T-MobileFBMF/ASUSFBBD/ASUSFBPN/com.facebook.katanaFBDV/ASUS_Z010FBSV/7.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 8.0;CPH2171 Build/K42NALD8)[FBAN/FB4A;FBAV/117.0.0.18.74FBBV/8323401FBDM={density=3.0,width=682,height=1315}FBLC/fr_FRFBRV/3310461FBCR/VerizonFBMF/OPPOFBBD/OPPOFBPN/com.facebook.katanaFBDV/CPH2171FBSV/8.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 12.0;ASUS_Z017 Build/H04DNOES)[FBAN/FB4A;FBAV/112.0.0.65.88FBBV/2551018FBDM={density=3.0,width=932,height=1253}FBLC/ko_KRFBRV/964930FBCR/Boost MobileFBMF/ASUSFBBD/ASUSFBPN/com.facebook.katanaFBDV/ASUS_Z017FBSV/12.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 12.0;ASUS_Z017 Build/YAKHSE7F)[FBAN/FB4A;FBAV/80.0.0.94.98FBBV/7701846FBDM={density=3.0,width=735,height=1778}FBLC/zh_TWFBRV/988289FBCR/VodafoneFBMF/ASUSFBBD/ASUSFBPN/com.facebook.katanaFBDV/ASUS_Z017FBSV/12.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 9.0;SM-A127F Build/9ZF2IMMJ)[FBAN/FB4A;FBAV/88.0.0.86.75FBBV/2098092FBDM={density=3.0,width=813,height=1349}FBLC/fr_FRFBRV/7603479FBCR/O2FBMF/SamsungFBBD/SamsungFBPN/com.facebook.katanaFBDV/SM-A127FFBSV/9.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 11.0;V2072 Build/F12OG0FY)[FBAN/FB4A;FBAV/114.0.0.46.37FBBV/1055086FBDM={density=3.0,width=919,height=1344}FBLC/zh_CNFBRV/6988742FBCR/O2FBMF/VivoFBBD/VivoFBPN/com.facebook.katanaFBDV/V2072FBSV/11.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 5.0;CPH2099 Build/TDNTESG8)[FBAN/FB4A;FBAV/96.0.0.87.48FBBV/8838356FBDM={density=3.0,width=366,height=651}FBLC/pt_BRFBRV/3094789FBCR/VodafoneFBMF/OPPOFBBD/OPPOFBPN/com.facebook.katanaFBDV/CPH2099FBSV/5.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 9.0;Redmi Note 9 Pro Build/Q8WVTP8R)[FBAN/FB4A;FBAV/98.0.0.22.4FBBV/4258932FBDM={density=3.0,width=751,height=1294}FBLC/de_DEFBRV/5292777FBCR/SprintFBMF/XiaomiFBBD/XiaomiFBPN/com.facebook.katanaFBDV/Redmi Note 9 ProFBSV/9.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 5.0;V2010 Build/XVSQI9HK)[FBAN/FB4A;FBAV/85.0.0.90.67FBBV/9069791FBDM={density=3.0,width=383,height=1292}FBLC/ko_KRFBRV/5278273FBCR/AT&TFBMF/VivoFBBD/VivoFBPN/com.facebook.katanaFBDV/V2010FBSV/5.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 10.0;Redmi Note 9 Pro Build/0QWZBSQU)[FBAN/FB4A;FBAV/88.0.0.27.72FBBV/1515420FBDM={density=3.0,width=412,height=721}FBLC/zh_TWFBRV/2345877FBCR/Boost MobileFBMF/XiaomiFBBD/XiaomiFBPN/com.facebook.katanaFBDV/Redmi Note 9 ProFBSV/10.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 7.0;P40 Pro Build/M42XJURO)[FBAN/FB4A;FBAV/118.0.0.12.72FBBV/3527006FBDM={density=3.0,width=1066,height=828}FBLC/zh_TWFBRV/2220958FBCR/SprintFBMF/HuaweiFBBD/HuaweiFBPN/com.facebook.katanaFBDV/P40 ProFBSV/7.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 11.0;LM-X410 Build/2SS2UPI0)[FBAN/FB4A;FBAV/115.0.0.100.91FBBV/8312304FBDM={density=3.0,width=946,height=1260}FBLC/it_ITFBRV/9343744FBCR/T-MobileFBMF/LGFBBD/LGFBPN/com.facebook.katanaFBDV/LM-X410FBSV/11.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 4.2.2;LM-Q710 Build/1ZMW0F5U)[FBAN/FB4A;FBAV/117.0.0.24.68FBBV/7358293FBDM={density=3.0,width=983,height=1712}FBLC/pt_BRFBRV/2529131FBCR/TelecomFBMF/LGFBBD/LGFBPN/com.facebook.katanaFBDV/LM-Q710FBSV/4.2.2FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 7.0;Moto G Fast Build/EFKS4HSL)[FBAN/FB4A;FBAV/114.0.0.86.33FBBV/2099866FBDM={density=3.0,width=909,height=1244}FBLC/it_ITFBRV/1922732FBCR/O2FBMF/MotorolaFBBD/MotorolaFBPN/com.facebook.katanaFBDV/Moto G FastFBSV/7.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 7.0;Mate 20 Pro Build/XR65BWC6)[FBAN/FB4A;FBAV/116.0.0.7.68FBBV/4999372FBDM={density=3.0,width=925,height=1720}FBLC/de_DEFBRV/7923026FBCR/SprintFBMF/HuaweiFBBD/HuaweiFBPN/com.facebook.katanaFBDV/Mate 20 ProFBSV/7.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 4.2.2;Mi 9T Build/E1XLC9HG)[FBAN/FB4A;FBAV/111.0.0.29.6FBBV/7918195FBDM={density=3.0,width=670,height=1098}FBLC/en_USFBRV/2980932FBCR/TelecomFBMF/XiaomiFBBD/XiaomiFBPN/com.facebook.katanaFBDV/Mi 9TFBSV/4.2.2FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 8.0;Xperia 1 II Build/NNBZY275)[FBAN/FB4A;FBAV/88.0.0.77.36FBBV/8518735FBDM={density=3.0,width=960,height=1568}FBLC/en_USFBRV/3953672FBCR/Boost MobileFBMF/SonyFBBD/SonyFBPN/com.facebook.katanaFBDV/Xperia 1 IIFBSV/8.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 5.0;Xperia 10 IV Build/7TAH7BB8)[FBAN/FB4A;FBAV/118.0.0.84.35FBBV/8579977FBDM={density=3.0,width=626,height=1318}FBLC/de_DEFBRV/613374FBCR/T-MobileFBMF/SonyFBBD/SonyFBPN/com.facebook.katanaFBDV/Xperia 10 IVFBSV/5.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 4.2.2;V2010 Build/RFBRB0GV)[FBAN/FB4A;FBAV/96.0.0.49.4FBBV/1309663FBDM={density=3.0,width=667,height=1375}FBLC/fr_FRFBRV/6524907FBCR/O2FBMF/VivoFBBD/VivoFBPN/com.facebook.katanaFBDV/V2010FBSV/4.2.2FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 10.0;P40 Pro Build/V3T2Z43L)[FBAN/FB4A;FBAV/80.0.0.14.72FBBV/2710901FBDM={density=3.0,width=680,height=1182}FBLC/fr_FRFBRV/8628321FBCR/O2FBMF/HuaweiFBBD/HuaweiFBPN/com.facebook.katanaFBDV/P40 ProFBSV/10.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 4.2.2;LM-G820 Build/PBZQ7ZZI)[FBAN/FB4A;FBAV/111.0.0.9.14FBBV/5104323FBDM={density=3.0,width=886,height=1173}FBLC/it_ITFBRV/8542975FBCR/SprintFBMF/LGFBBD/LGFBPN/com.facebook.katanaFBDV/LM-G820FBSV/4.2.2FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 8.0;V2007 Build/ILD6O49N)[FBAN/FB4A;FBAV/113.0.0.12.32FBBV/7508313FBDM={density=3.0,width=388,height=1117}FBLC/de_DEFBRV/6836008FBCR/VerizonFBMF/VivoFBBD/VivoFBPN/com.facebook.katanaFBDV/V2007FBSV/8.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 10.0;Pixel 4a Build/6VSXWHGO)[FBAN/FB4A;FBAV/97.0.0.36.72FBBV/8152410FBDM={density=3.0,width=828,height=1582}FBLC/fr_FRFBRV/5507333FBCR/OrangeFBMF/GoogleFBBD/GoogleFBPN/com.facebook.katanaFBDV/Pixel 4aFBSV/10.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 6.0;ASUS_Z010 Build/DM8PNXNJ)[FBAN/FB4A;FBAV/109.0.0.40.46FBBV/4516375FBDM={density=3.0,width=456,height=833}FBLC/en_USFBRV/3646857FBCR/O2FBMF/ASUSFBBD/ASUSFBPN/com.facebook.katanaFBDV/ASUS_Z010FBSV/6.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 5.0;Mi 9T Build/3KGQFLFF)[FBAN/FB4A;FBAV/99.0.0.9.54FBBV/4602223FBDM={density=3.0,width=867,height=1507}FBLC/zh_TWFBRV/3150575FBCR/TelecomFBMF/XiaomiFBBD/XiaomiFBPN/com.facebook.katanaFBDV/Mi 9TFBSV/5.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 11.0;ASUS_Z007 Build/6FQDRKSR)[FBAN/FB4A;FBAV/111.0.0.37.28FBBV/683274FBDM={density=3.0,width=360,height=717}FBLC/it_ITFBRV/743724FBCR/OrangeFBMF/ASUSFBBD/ASUSFBPN/com.facebook.katanaFBDV/ASUS_Z007FBSV/11.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 5.0;Xperia 5 II Build/GXT8R075)[FBAN/FB4A;FBAV/88.0.0.32.22FBBV/4439739FBDM={density=3.0,width=799,height=703}FBLC/fr_FRFBRV/7349643FBCR/Boost MobileFBMF/SonyFBBD/SonyFBPN/com.facebook.katanaFBDV/Xperia 5 IIFBSV/5.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 7.0;P40 Pro Build/54L7WFO2)[FBAN/FB4A;FBAV/119.0.0.50.25FBBV/3000546FBDM={density=3.0,width=805,height=1898}FBLC/zh_CNFBRV/8058309FBCR/SprintFBMF/HuaweiFBBD/HuaweiFBPN/com.facebook.katanaFBDV/P40 ProFBSV/7.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 4.2.2;Redmi Note 9 Pro Build/7M6U0LF0)[FBAN/FB4A;FBAV/82.0.0.91.12FBBV/325542FBDM={density=3.0,width=707,height=1090}FBLC/zh_CNFBRV/3979093FBCR/OrangeFBMF/XiaomiFBBD/XiaomiFBPN/com.facebook.katanaFBDV/Redmi Note 9 ProFBSV/4.2.2FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 10.0;SM-A528B Build/1P4SRGO6)[FBAN/FB4A;FBAV/111.0.0.6.11FBBV/941450FBDM={density=3.0,width=1050,height=1501}FBLC/en_USFBRV/8639597FBCR/VodafoneFBMF/SamsungFBBD/SamsungFBPN/com.facebook.katanaFBDV/SM-A528BFBSV/10.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 9.0;LM-G820 Build/SRZ71M2J)[FBAN/FB4A;FBAV/103.0.0.60.63FBBV/5865055FBDM={density=3.0,width=848,height=734}FBLC/zh_TWFBRV/5576604FBCR/VerizonFBMF/LGFBBD/LGFBPN/com.facebook.katanaFBDV/LM-G820FBSV/9.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 9.0;SM-A127F Build/CS7M0QKX)[FBAN/FB4A;FBAV/83.0.0.49.38FBBV/1435664FBDM={density=3.0,width=863,height=735}FBLC/pt_BRFBRV/3106514FBCR/OrangeFBMF/SamsungFBBD/SamsungFBPN/com.facebook.katanaFBDV/SM-A127FFBSV/9.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 7.0;CPH2147 Build/B7OCT73W)[FBAN/FB4A;FBAV/101.0.0.34.24FBBV/7521566FBDM={density=3.0,width=465,height=1505}FBLC/ko_KRFBRV/363656FBCR/SprintFBMF/OPPOFBBD/OPPOFBPN/com.facebook.katanaFBDV/CPH2147FBSV/7.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 11.0;V2007 Build/7YYMMII3)[FBAN/FB4A;FBAV/105.0.0.7.66FBBV/9556799FBDM={density=3.0,width=827,height=1691}FBLC/es_ESFBRV/2207885FBCR/SprintFBMF/VivoFBBD/VivoFBPN/com.facebook.katanaFBDV/V2007FBSV/11.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 12.0;P30 Pro Build/JHOPH6Q1)[FBAN/FB4A;FBAV/103.0.0.80.20FBBV/1547011FBDM={density=3.0,width=390,height=1804}FBLC/zh_TWFBRV/8768426FBCR/VodafoneFBMF/HuaweiFBBD/HuaweiFBPN/com.facebook.katanaFBDV/P30 ProFBSV/12.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 9.0;ASUS_Z012 Build/8TMJ01P3)[FBAN/FB4A;FBAV/86.0.0.33.6FBBV/4638495FBDM={density=3.0,width=524,height=1368}FBLC/pt_BRFBRV/8551403FBCR/OrangeFBMF/ASUSFBBD/ASUSFBPN/com.facebook.katanaFBDV/ASUS_Z012FBSV/9.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 7.0;Redmi Note 9 Pro Build/6C7U6FFZ)[FBAN/FB4A;FBAV/101.0.0.2.18FBBV/285825FBDM={density=3.0,width=757,height=1608}FBLC/zh_TWFBRV/4544798FBCR/VodafoneFBMF/XiaomiFBBD/XiaomiFBPN/com.facebook.katanaFBDV/Redmi Note 9 ProFBSV/7.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 7.0;Mate 20 Pro Build/RYSZNIVQ)[FBAN/FB4A;FBAV/117.0.0.81.48FBBV/733085FBDM={density=3.0,width=455,height=1226}FBLC/ja_JPFBRV/359246FBCR/VerizonFBMF/HuaweiFBBD/HuaweiFBPN/com.facebook.katanaFBDV/Mate 20 ProFBSV/7.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 5.0;Redmi Note 9 Pro Build/1OKKCVK9)[FBAN/FB4A;FBAV/92.0.0.1.4FBBV/5760342FBDM={density=3.0,width=398,height=1194}FBLC/es_ESFBRV/2755184FBCR/Boost MobileFBMF/XiaomiFBBD/XiaomiFBPN/com.facebook.katanaFBDV/Redmi Note 9 ProFBSV/5.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 6.0;LM-X410 Build/W2S5WS9R)[FBAN/FB4A;FBAV/90.0.0.15.52FBBV/4581792FBDM={density=3.0,width=1036,height=1029}FBLC/zh_CNFBRV/1501678FBCR/AT&TFBMF/LGFBBD/LGFBPN/com.facebook.katanaFBDV/LM-X410FBSV/6.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 7.0;Redmi Note 9 Pro Build/4GP7HSL2)[FBAN/FB4A;FBAV/107.0.0.87.59FBBV/6277503FBDM={density=3.0,width=482,height=1725}FBLC/pt_BRFBRV/3952770FBCR/T-MobileFBMF/XiaomiFBBD/XiaomiFBPN/com.facebook.katanaFBDV/Redmi Note 9 ProFBSV/7.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 10.0;SM-G973F Build/KI062KEA)[FBAN/FB4A;FBAV/87.0.0.75.80FBBV/3210193FBDM={density=3.0,width=672,height=1069}FBLC/fr_FRFBRV/4136234FBCR/O2FBMF/SamsungFBBD/SamsungFBPN/com.facebook.katanaFBDV/SM-G973FFBSV/10.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 12.0;V2027 Build/N4HJ8UH1)[FBAN/FB4A;FBAV/99.0.0.65.3FBBV/8932768FBDM={density=3.0,width=882,height=1068}FBLC/en_USFBRV/2494658FBCR/Boost MobileFBMF/VivoFBBD/VivoFBPN/com.facebook.katanaFBDV/V2027FBSV/12.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 4.2.2;Redmi Note 9 Pro Build/25BCQKOO)[FBAN/FB4A;FBAV/107.0.0.23.80FBBV/4976469FBDM={density=3.0,width=718,height=1750}FBLC/ja_JPFBRV/2959283FBCR/OrangeFBMF/XiaomiFBBD/XiaomiFBPN/com.facebook.katanaFBDV/Redmi Note 9 ProFBSV/4.2.2FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 4.2.2;Moto G Power Build/W786X64T)[FBAN/FB4A;FBAV/86.0.0.61.38FBBV/9944343FBDM={density=3.0,width=700,height=698}FBLC/it_ITFBRV/9870187FBCR/VerizonFBMF/MotorolaFBBD/MotorolaFBPN/com.facebook.katanaFBDV/Moto G PowerFBSV/4.2.2FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 8.0;CPH2147 Build/3XRESFUP)[FBAN/FB4A;FBAV/108.0.0.96.81FBBV/5383840FBDM={density=3.0,width=965,height=1647}FBLC/es_ESFBRV/3032146FBCR/Boost MobileFBMF/OPPOFBBD/OPPOFBPN/com.facebook.katanaFBDV/CPH2147FBSV/8.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 10.0;SM-A528B Build/T5JH3FXI)[FBAN/FB4A;FBAV/87.0.0.53.80FBBV/3014385FBDM={density=3.0,width=495,height=670}FBLC/ja_JPFBRV/2893606FBCR/OrangeFBMF/SamsungFBBD/SamsungFBPN/com.facebook.katanaFBDV/SM-A528BFBSV/10.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 7.0;ASUS_Z007 Build/FOPT8O2N)[FBAN/FB4A;FBAV/87.0.0.95.20FBBV/103669FBDM={density=3.0,width=691,height=1395}FBLC/pt_BRFBRV/8380868FBCR/VerizonFBMF/ASUSFBBD/ASUSFBPN/com.facebook.katanaFBDV/ASUS_Z007FBSV/7.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 10.0;Moto G Power Build/E4EZGIIG)[FBAN/FB4A;FBAV/118.0.0.87.40FBBV/511078FBDM={density=3.0,width=378,height=744}FBLC/it_ITFBRV/4369309FBCR/AT&TFBMF/MotorolaFBBD/MotorolaFBPN/com.facebook.katanaFBDV/Moto G PowerFBSV/10.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 9.0;LM-K500 Build/GTG9EXPR)[FBAN/FB4A;FBAV/85.0.0.14.28FBBV/1645769FBDM={density=3.0,width=426,height=906}FBLC/en_USFBRV/8180673FBCR/VerizonFBMF/LGFBBD/LGFBPN/com.facebook.katanaFBDV/LM-K500FBSV/9.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 12.0;P40 Pro Build/YZPZB2MA)[FBAN/FB4A;FBAV/108.0.0.4.17FBBV/1427445FBDM={density=3.0,width=917,height=1270}FBLC/en_USFBRV/378609FBCR/SprintFBMF/HuaweiFBBD/HuaweiFBPN/com.facebook.katanaFBDV/P40 ProFBSV/12.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 10.0;LM-G820 Build/G0JWBSYI)[FBAN/FB4A;FBAV/83.0.0.96.20FBBV/8311354FBDM={density=3.0,width=588,height=998}FBLC/it_ITFBRV/9349342FBCR/T-MobileFBMF/LGFBBD/LGFBPN/com.facebook.katanaFBDV/LM-G820FBSV/10.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 6.0;Pixel 4a Build/NJJSL5HI)[FBAN/FB4A;FBAV/89.0.0.18.19FBBV/8346175FBDM={density=3.0,width=715,height=1656}FBLC/ja_JPFBRV/612408FBCR/VodafoneFBMF/GoogleFBBD/GoogleFBPN/com.facebook.katanaFBDV/Pixel 4aFBSV/6.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 11.0;LM-X410 Build/W29EQCYL)[FBAN/FB4A;FBAV/87.0.0.100.90FBBV/1523103FBDM={density=3.0,width=712,height=1484}FBLC/es_ESFBRV/7782755FBCR/AT&TFBMF/LGFBBD/LGFBPN/com.facebook.katanaFBDV/LM-X410FBSV/11.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 11.0;Moto G Power Build/5I5L4356)[FBAN/FB4A;FBAV/114.0.0.40.37FBBV/8434715FBDM={density=3.0,width=619,height=1080}FBLC/fr_FRFBRV/6839978FBCR/TelecomFBMF/MotorolaFBBD/MotorolaFBPN/com.facebook.katanaFBDV/Moto G PowerFBSV/11.0FBOP/1FBCA/x86:armeabi-v7a]
